[2023-2-27 - 14:51:59:640][DEBUG]   Adapter 0 : NVIDIA GeForce RTX 3060 Laptop GPU
[2023-2-27 - 14:51:59:642][DEBUG]   Adapter 1 : AMD Radeon(TM) Graphics
[2023-2-27 - 14:51:59:643][DEBUG]   Adapter 2 : Microsoft Basic Render Driver
[2023-2-27 - 14:51:59:643][DEBUG]   3 Adapter(s) found
[2023-2-27 - 14:51:59:644][DEBUG]   InitalizeAdapterAndOutput ok.
[2023-2-27 - 14:51:59:646][DEBUG]   Window Class Created
[2023-2-27 - 14:51:59:647][DEBUG]   Desktop resolution: 1707 x 960
[2023-2-27 - 14:51:59:749][DEBUG]   Window Opened
[2023-2-27 - 14:52:0:195][DEBUG]   Direct3D Initialized
[2023-2-27 - 14:52:0:930][DEBUG]   Managers Initialized!
[2023-2-27 - 14:52:0:932][INFO]    Press 'Page Up' or 'Page Down' to cycle between the different scenes
[2023-2-27 - 14:52:0:935][INFO]    Press 'I' to toggle the debug renderer.
[2023-2-27 - 14:52:0:937][INFO]    Press 'M' to do physics stepping.
[2023-2-27 - 14:52:0:938][INFO]    Press 'L' to stop doing physics stepping.
[2023-2-27 - 14:52:0:990][DEBUG]   Scenes Initialized!
[2023-2-27 - 14:52:1:87][DEBUG]   DebugRenderer::Draw() > Increasing Vertexbuffer Size!
[2023-2-27 - 14:52:4:194][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:52:4:261][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:52:9:279][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:52:9:327][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:52:13:526][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:52:13:564][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:52:16:582][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:52:16:611][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:52:18:393][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:52:18:430][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:52:20:575][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:52:20:661][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:52:25:564][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:52:25:593][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:52:27:945][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:52:27:982][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:52:30:163][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:52:30:193][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:52:32:212][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:52:32:248][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:52:34:145][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:52:34:230][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:52:40:847][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:52:40:879][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:52:42:678][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:52:42:727][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:52:44:829][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:52:44:914][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:52:49:982][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:52:50:11][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:52:52:260][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:52:52:296][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:52:54:230][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:52:54:278][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:52:56:248][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:52:56:363][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:53:2:381][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:53:2:411][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:53:4:315][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:53:4:345][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:53:6:393][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:53:6:496][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:53:11:963][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:53:11:993][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:53:14:78][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:53:14:115][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:53:16:95][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:53:16:210][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:53:22:295][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:53:22:331][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:53:24:229][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:53:24:259][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:53:26:314][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:53:26:411][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:53:31:914][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:53:31:944][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:53:34:28][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:53:34:59][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:53:36:46][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:53:36:144][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:53:42:210][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:53:42:246][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:53:44:162][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:53:44:193][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:53:46:228][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:53:46:295][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:53:51:798][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:53:51:828][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:53:53:895][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:53:53:931][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:53:55:912][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:53:56:9][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:54:2:46][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:54:2:77][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:54:3:997][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:54:4:28][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:54:6:65][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:54:6:131][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:54:11:646][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:54:11:676][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:54:13:743][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:54:13:779][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:54:15:762][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:54:15:846][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:54:21:859][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:54:21:896][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:54:23:810][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:54:23:846][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:54:25:876][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:54:25:964][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:54:31:475][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:54:31:513][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:54:33:561][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:54:33:597][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:54:35:579][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:54:35:663][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:54:41:663][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:54:41:694][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:54:43:627][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:54:43:664][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:54:45:694][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:54:45:779][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:54:51:330][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:54:51:361][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:54:53:415][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:54:53:446][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:54:55:427][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:54:55:512][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:55:1:494][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:55:1:530][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:55:3:464][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:55:3:494][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:55:5:530][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:55:5:614][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:55:11:197][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:55:11:227][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:55:13:282][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:55:13:312][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:55:15:293][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:55:15:359][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:55:21:330][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:55:21:359][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:55:23:311][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:55:23:348][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:55:25:378][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:55:25:462][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:55:31:64][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:55:31:95][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:55:33:128][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:55:33:161][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:55:35:148][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:55:35:215][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:55:41:148][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:55:41:178][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:55:43:129][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:55:43:161][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:55:45:195][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:55:45:293][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:55:50:913][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:55:50:948][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:55:52:978][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:55:53:14][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:55:55:14][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:55:55:111][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:56:1:26][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:56:1:63][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:56:3:14][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:56:3:44][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:56:5:80][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:56:5:177][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:56:10:814][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:56:10:843][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:56:12:880][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:56:12:911][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:56:14:911][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:56:15:14][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:56:20:911][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:56:20:947][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:56:22:898][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:56:22:929][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:56:24:947][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:56:25:14][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:56:30:644][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:56:30:680][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:56:32:716][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:56:32:747][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:56:34:747][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:56:34:844][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:56:40:728][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:56:40:768][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:56:42:711][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:56:42:746][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:56:44:778][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:56:44:880][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:56:50:529][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:56:50:564][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:56:52:576][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:56:52:613][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:56:54:613][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:56:54:710][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:57:0:595][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:57:0:626][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:57:2:595][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:57:2:631][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:57:4:661][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:57:4:765][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:57:10:431][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:57:10:461][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:57:12:480][INFO]    Sphere FOUND triggerbox LEFT
[2023-2-27 - 14:57:12:510][INFO]    Sphere LOST triggerbox LEFT
[2023-2-27 - 14:57:14:510][INFO]    Sphere FOUND triggerbox RIGHT
[2023-2-27 - 14:57:14:595][INFO]    Sphere LOST triggerbox RIGHT
[2023-2-27 - 14:57:20:461][INFO]    Sphere FOUND triggerbox LEFT
